retailer,store #,store name,address,city,state,zip,notes,phone,country
Hudson's Bay Company,1138, Chinook Centre, 6455 Macleod Trail SW, Calgary,Alberta, AB T2H 0L1,Customization + Premades,, Canada
Hudson's Bay Company,1101,Vancouver Downtown,674 Granville St, Vancouver,British Columbia, BC V6C 1Z6,Customization + Premades,, Canada
Hudson's Bay Company,1560,Hudson's Bay Queen Street, 176 Yonge St, Toronto,Ontario, ON M5C 2L7,Customization + Premades,, Canada
Hudson's Bay Company,1546,Scarborough Town Centre,300 Borough Dr,Toronto,Ontario, ON M1P 4P5,Customization + Premades,, Canada
Nordstrom,380,Fashion Square,7055 E. Camelback Road,Scottsdale,AZ,85251,Loungewear & W+W,480-946-4111,USA
Macy's,450,SCOTTSDALE FASHION SQUARE,7014 East Camelback Rd,Scottsdale,AZ,85251,Tops & Accessories,,USA
Macy's,451,BILTMORE FASHION PARK,2410 East Camelback Rd,Phoenix,AZ,85016,Tops,,USA
Macy's,452,ARROWHEAD TOWNE CENTER,7600 W Arrowhead Towne Center,Glendale,AZ,85308,Tops & Accessories,,USA
Macy's,453,CHANDLER FASHION CENTER,3107 West Chandler Blvd,Chandler,AZ,85226,Tops & Accessories,,USA
Macy's,454,PARADISE VALLEY,4500 East Cactus Rd,Phoenix,AZ,85032,Tops,,USA
Macy's,465,SANTAN VILLAGE,2190 East Williams Field Rd,Gilbert,AZ,85295,Tops,,USA
Nordstrom,384,Century City,10250 Santa Monica Boulevard Dept 3,Los Angeles,CA,90067,Loungewear,424-204-1177,USA
Nordstrom,320,South Coast Plaza,3333 Bristol Street,Costa Mesa,CA,92626,Loungewear,714-549-8300,USA
Nordstrom,326,The Shops at Mission Viejo,100 The Shops at Mission Viejo,Mission Viejo,CA,92691,Loungewear & W+W,949-347-2710,USA
Nordstrom,333,Fashion Island,901 Newport Center Drive,Newport Beach,CA,92660,Loungewear,949-610-0700,USA
Nordstrom,341,Topanga,21725 Victory Boulevard,Canoga Park,CA,91303,Loungewear,818-884-7900,USA
Nordstrom,342,Del Amo Fashion Center,21500 Hawthorne Boulevard,Torrance,CA,90503,Loungewear,310-542-9440,USA
Nordstrom,345,Santa Anita,400 S. Baldwin Avenue,Arcadia,CA,91007,Loungewear,626-821-6363,USA
Nordstrom,349,Grove At Farmers Market,189 The Grove Drive,Los Angeles,CA,90036,Loungewear,323-930-2230,USA
Nordstrom,353,Santa Monica Place,220 Broadway,Santa Monica,CA,90401,Loungewear,310-752-2701,USA
Nordstrom,360,Fashion Valley Center,6997 Friars Road,San Diego,CA,92108,Loungewear,619-295-4441,USA
Nordstrom,361,UTC,4401 La Jolla Village Drive,San Diego,CA,92122,Loungewear,858-457-4575,USA
Nordstrom,423,Corte Madera,1870 Redwood Highway,Corte Madera,CA,94925,Loungewear,415-927-1690,USA
Nordstrom,427,San Francisco Centre,865 Market Street,San Francisco,CA,94103,Loungewear & W+W,415-243-8500,USA
Nordstrom,348,The Oaks,346 W. Hillcrest Drive,Thousand Oaks,CA,91360,W+W,805-418-4500,USA
